,label,PCA_feature_3
1,0.0,-20.704172677364035
1,1.0,22.923878217561438
1,1.0,22.923878217561438
1,1.0,22.923878217561438
2,1.0,32.129038064447805
2,0.0,-4.659755304834523
2,1.0,32.129038064447805
2,1.0,32.129038064447805
3,1.0,-8.496784974305262
5,1.0,-1.4797168132544616
5,0.0,5.616500721972715
5,1.0,-1.4797168132544616
5,1.0,-1.4797168132544616
6,1.0,-5.143296072004946
7,0.0,-13.282130587128474
7,1.0,-3.4308148144348847
7,1.0,-3.430814814434886
8,1.0,-8.18200702701287
8,0.0,-12.415014510488243
8,1.0,-8.18200702701287
9,0.0,-5.210669040533466
10,1.0,5.070351615238596
11,1.0,-9.042166587126967
11,0.0,-4.539032954891779
11,1.0,-9.042166587126967
12,1.0,3.8257093178742414
12,1.0,3.8257093178742414
12,0.0,-12.455282318492511
12,1.0,3.8257093178742414
12,1.0,3.8257093178742414
13,1.0,-0.6238368685446207
13,0.0,-1.188936875504766
14,1.0,16.124249306345483
14,0.0,20.33532934903771
15,1.0,24.692075315236867
15,1.0,24.692075315236863
15,0.0,-18.864094290086587
17,0.0,-8.854987022628265
17,1.0,1.3134382469033308
17,1.0,1.3134382469033308
18,0.0,12.770053141687828
19,0.0,-12.596829101497049
19,1.0,10.900576005510267
19,1.0,10.900576005510265
21,0.0,-20.241511508770518
22,1.0,5.583871872200099
22,0.0,20.104399981860666
22,1.0,5.583871872200099
23,0.0,-3.7375628775407925
24,0.0,-17.846499278551256
25,1.0,24.361165098354093
25,1.0,24.361165098354093
26,0.0,-11.41705313198809
27,1.0,-9.851215768784234
27,1.0,-9.851215768784234
28,0.0,-8.591042365471553
28,1.0,-8.289956994820555
28,1.0,-8.289956994820555
29,0.0,-20.346723312545375
30,0.0,-17.730683639803377
31,1.0,28.400592042314344
31,1.0,28.400592042314344
31,1.0,28.400592042314344
31,0.0,-11.600185746176145
31,1.0,28.400592042314344
32,1.0,9.041232632746945
32,1.0,9.041232632746945
32,0.0,4.409790772587039
33,0.0,-15.87009947503762
34,1.0,-6.457842165809492
34,1.0,-6.457842165809492
35,1.0,2.2328647999089735
35,0.0,-10.85169600276934
36,1.0,0.8500235896777295
36,1.0,0.8500235896777295
36,1.0,0.8500235896777295
36,0.0,-8.787468534058771
37,0.0,-26.344194859298504
37,1.0,10.104147205694346
37,1.0,10.104147205694346
37,1.0,10.104147205694346
37,1.0,10.104147205694346
37,1.0,10.104147205694346
38,0.0,-15.532180223345668
39,0.0,-13.790424337362024
39,1.0,4.88467343590033
39,1.0,4.88467343590033
40,0.0,-15.038301473938585
40,1.0,5.0187940603001575
42,1.0,7.164108531674248
42,0.0,0.031002139493060632
43,1.0,17.981707542649684
43,0.0,-16.637853520610708
44,1.0,-6.034961255859477
44,1.0,-6.034961255859477
45,1.0,13.371016365950656
45,0.0,-19.985448932288158
46,0.0,-13.195662800614464
46,1.0,-1.3274422276653124
47,1.0,6.039110676133834
47,1.0,6.039110676133833
47,1.0,6.039110676133834
48,1.0,-8.74863652418431
48,0.0,-8.220424200669882
49,1.0,-4.996571986639237
49,0.0,26.684518191388186
51,1.0,0.6846072129129537
51,0.0,-14.526775968102797
51,1.0,0.6846072129129537
52,1.0,9.502110793336595
52,1.0,9.502110793336595
52,0.0,-16.89147853476024
53,0.0,-15.568637986050824
53,1.0,0.08686683499913765
53,1.0,0.0868668349991373
54,1.0,0.04863408711700934
54,0.0,-1.638889279750155
54,1.0,0.04863408711700934
55,0.0,-13.191058714205047
56,0.0,0.3049076012266324
57,1.0,6.687300150192008
57,1.0,6.687300150192008
57,1.0,6.687300150192008
57,1.0,6.687300150192008
58,0.0,-0.2071029071835866
59,1.0,17.830552447771655
60,0.0,-4.136049388344492
60,1.0,9.087650474896527
61,1.0,-6.039964865459525
62,0.0,4.244169032762025
63,0.0,-15.807305368406066
64,0.0,50.73029944239143
66,0.0,-10.17311709743654
68,0.0,20.787841023947927
69,0.0,-9.261072022866157
71,0.0,-13.622287446680545
74,0.0,-15.930134250281677
75,0.0,-5.836094526563574
76,0.0,-15.095582545983069
77,0.0,-10.89081249876573
79,0.0,7.965691953481606
80,0.0,16.652364028249757
81,0.0,-9.386956013790096
82,0.0,6.597452412396449
83,0.0,-12.208812353959619
84,0.0,13.658269039393119
85,0.0,1.50643783468907
86,0.0,-4.295807683332518
87,0.0,-21.80322859546914
88,0.0,0.06395276894649893
90,0.0,-16.40127495573509
91,0.0,-10.458487690767697
96,0.0,7.735203510170001
98,0.0,6.151591798416778
99,0.0,-15.863226792467728
100,0.0,-9.155340639769348
101,0.0,-15.535425522985445
102,0.0,-12.328882497061759
103,0.0,0.34691532393565483
105,0.0,-6.925056373693169
107,0.0,-10.26143953446021
108,0.0,-3.66545865792753
110,0.0,4.739341016518467
114,0.0,-7.051078932255688
117,0.0,-5.865150302006543
118,0.0,-14.776969302352793
119,0.0,-8.557454956297743
120,0.0,-19.271139582913655
