,label,PCA_feature_2,PCA_feature_150
1,1.0,-4.6052184687565125,-3.625572064791527e-16
1,1.0,-4.6052184687565125,-3.625572064791527e-16
1,1.0,-4.6052184687565125,-3.625572064791527e-16
2,0.0,0.9626202212005489,-3.469446951953614e-17
2,1.0,-4.480450374651669,-1.214306433183765e-16
2,1.0,-4.480450374651669,-1.214306433183765e-16
2,1.0,-4.480450374651669,-1.214306433183765e-16
3,0.0,0.7149419220625326,2.47198095326695e-16
4,0.0,-0.32345898158569286,1.6393136847980827e-16
5,0.0,1.62718882318057,2.8362728832220796e-16
5,1.0,-1.594238434416213,4.5102810375396984e-17
7,1.0,-0.7789744119904478,1.3877787807814457e-17
7,1.0,-0.7789744119904478,1.3877787807814457e-17
7,1.0,-0.7789744119904478,1.3877787807814457e-17
7,0.0,0.23115796550844425,2.636779683484747e-16
8,1.0,-0.20380204211282232,9.367506770274758e-17
9,0.0,5.544455236248869,-3.2959746043559335e-17
10,1.0,1.2447264568798149,-2.220446049250313e-16
10,1.0,1.2447264568798149,-2.2898349882893854e-16
11,0.0,4.183979238323506,-5.204170427930421e-18
11,1.0,0.1809925109640407,1.1882855810441129e-16
11,1.0,0.1809925109640407,1.1882855810441129e-16
12,1.0,1.8731441696749336,1.214306433183765e-17
13,1.0,-0.05269255231957361,-1.734723475976807e-17
13,1.0,-0.05269255231957361,-1.734723475976807e-17
13,0.0,2.7709088573651406,-1.8388068845354155e-16
16,1.0,0.6243642119290396,-1.2836953722228372e-16
16,1.0,0.6243642119290396,-1.2836953722228372e-16
16,1.0,0.6243642119290396,-1.2836953722228372e-16
16,0.0,0.898904053466962,2.229119666630197e-16
16,1.0,0.6243642119290396,-1.2836953722228372e-16
17,1.0,-1.845683555933669,-4.336808689942018e-17
17,0.0,-1.0796895583547093,2.185751579730777e-16
18,0.0,-1.3228061117491239,0.0
18,1.0,-1.8590270360382681,6.5052130349130266e-18
19,1.0,-2.016409657068404,5.204170427930421e-17
19,0.0,3.567551603698655,3.2959746043559335e-17
19,1.0,-2.016409657068404,1.0408340855860843e-17
20,0.0,0.37605737600273575,2.914335439641036e-16
20,1.0,-0.5680045537097216,-3.122502256758253e-17
20,1.0,-0.5680045537097216,-3.122502256758253e-17
21,0.0,2.9048589899775985,8.326672684688674e-17
21,1.0,5.132915249496049,-8.673617379884035e-17
21,1.0,5.132915249496049,-8.673617379884035e-17
22,1.0,-1.2963227755230022,-8.326672684688674e-17
22,0.0,5.312152024223375,-1.2923689896027213e-16
22,1.0,-1.2963227755230022,-8.326672684688674e-17
23,0.0,-0.3631990493643875,9.8879238130678e-17
23,1.0,-2.575769421154228,-6.931101200792489e-17
23,1.0,-2.575769421154228,-6.931101200792489e-17
24,1.0,-2.6431139649717244,3.642919299551295e-17
24,0.0,4.512703036674612,9.974659986866641e-17
24,1.0,-2.643113964971724,2.5153490401663703e-17
25,0.0,0.3318777704552622,2.7755575615628914e-16
27,1.0,-2.3786835997246696,2.1196152472091612e-16
27,1.0,-2.3786835997246696,2.1196152472091612e-16
27,0.0,2.408488163976055,2.480654570646834e-16
28,1.0,-1.5002218144058395,-4.85722573273506e-17
28,1.0,-1.5002218144058395,8.153200337090993e-17
28,0.0,1.7405027972976859,-4.85722573273506e-17
28,1.0,-1.5002218144058395,8.153200337090993e-17
28,1.0,-1.5002218144058395,-4.85722573273506e-17
29,0.0,2.691211271467683,1.960237527853792e-16
29,1.0,-1.272071910450281,-2.0816681711721685e-17
29,1.0,-1.272071910450281,-2.0816681711721685e-17
30,0.0,4.986247117638655,-7.806255641895632e-17
31,1.0,-2.231217155323152,-2.7755575615628914e-16
31,1.0,-2.231217155323152,-2.7755575615628914e-16
32,1.0,-0.40033203338814,-4.597017211338539e-17
33,1.0,-1.0277134168732185,-9.020562075079397e-17
33,1.0,-1.0277134168732185,-9.020562075079397e-17
33,1.0,-1.0277134168732185,-9.020562075079397e-17
34,1.0,-1.259084218854822,1.3444106938820255e-17
34,1.0,-1.259084218854822,1.3444106938820255e-17
34,1.0,-1.259084218854822,1.3444106938820255e-17
34,1.0,-1.259084218854822,1.3444106938820255e-17
34,0.0,0.14726146710922872,-3.469446951953614e-18
34,1.0,-1.259084218854822,1.3444106938820255e-17
35,0.0,2.212644810155958,-1.8561541192951836e-16
35,1.0,-1.5027777396860669,-1.0234868508263162e-16
35,1.0,-1.5027777396860669,-1.0234868508263162e-16
36,0.0,2.9558431101196243,6.678685382510707e-17
37,1.0,-2.8832277388949046,-1.3010426069826053e-17
37,0.0,6.262325089412414,-2.498001805406602e-16
38,1.0,-1.9816924034325767,-1.6479873021779667e-17
39,0.0,1.7933858453326166,1.0408340855860843e-16
39,1.0,-2.177634674214134,-2.1163626406917047e-16
40,1.0,-1.1843300907655991,2.710505431213761e-17
40,1.0,-1.1843300907655991,2.710505431213761e-17
41,0.0,2.2443121842992992,-4.9873299934333204e-17
41,1.0,-3.483746415411051,-9.540979117872439e-17
42,1.0,-1.9702804898270734,-3.642919299551295e-17
42,0.0,-1.5640062397704075,7.806255641895632e-17
43,1.0,-6.225380006629856,-1.3877787807814457e-16
43,1.0,-6.225380006629854,-3.469446951953614e-17
43,1.0,-6.225380006629856,-1.3877787807814457e-16
43,0.0,1.3494498088536304,1.249000902703301e-16
45,1.0,-3.3578885410885815,-1.0668549377257364e-16
46,0.0,0.2642891753166408,2.654126918244515e-16
47,0.0,-0.07305731801507628,2.8189256484623115e-16
49,0.0,-1.821674938137098,-3.157196726277789e-16
50,1.0,-1.702020934487786,6.245004513516506e-17
