,label,PCA_feature_2,PCA_feature_3,PCA_feature_11,PCA_feature_129,PCA_feature_131,PCA_feature_132,PCA_feature_133,PCA_feature_139,PCA_feature_140
1,1.0,-11.033711753282216,22.530387107943348,-1.117372307835492,1.582067810090848e-15,4.440892098500626e-16,4.3021142204224816e-15,3.635980405647388e-15,1.4710455076283324e-15,1.4710455076283324e-15
2,1.0,-3.863631772848839,34.37969619191428,-12.137164945259894,2.1371793224034263e-15,-2.1094237467877974e-15,2.3869795029440866e-15,2.9698465908722937e-15,3.3861802251067274e-15,3.2751579226442118e-15
2,0.0,1.5259782573082017,-4.030280480650442,1.5533186667874217,1.2212453270876722e-15,-2.0122792321330962e-15,2.9004576518332215e-15,1.1796119636642288e-15,1.6930901125533637e-15,1.3461454173580023e-15
3,0.0,-3.913129776579316,-10.457337549334719,2.9479532489589424,-1.5265566588595902e-16,-2.636779683484747e-16,3.885780586188048e-16,-2.3887142264200634e-15,-8.181389593575616e-16,-1.4432899320127035e-15
4,0.0,-5.9878147064194,-15.016616969710784,-0.7081732658768449,-5.828670879282072e-16,8.326672684688674e-17,5.273559366969494e-16,-2.220446049250313e-15,-9.506284648352903e-16,-9.43689570931383e-16
5,0.0,13.735192880997845,12.25635266614403,1.3938291897217958,-1.6930901125533637e-15,1.7139067942650854e-15,-1.0130785099704553e-15,5.329070518200751e-15,2.55351295663786e-15,3.552713678800501e-15
5,1.0,-12.096472604772776,-5.570592956764211,6.385849141480515,1.2038980923279041e-15,-4.926614671774132e-16,9.575673587391975e-16,-1.4988010832439613e-15,-3.3306690738754696e-16,3.3306690738754696e-16
7,0.0,-5.694542644848494,-13.957475739768627,-0.33872380426394877,3.7470027081099033e-16,4.85722573273506e-16,1.2351231148954867e-15,-1.7763568394002505e-15,-1.7942969972230965e-15,-1.4432899320127035e-15
7,1.0,-8.580396105958863,-7.108741620284428,5.4109496026792,1.0685896612017132e-15,-9.228728892196614e-16,8.118505867571457e-16,-6.245004513516506e-16,-3.608224830031759e-16,-6.106226635438361e-16
8,1.0,-6.65639952834578,-8.187356731638493,4.631548760844914,1.3079815008865125e-15,-2.706168622523819e-16,1.3964523981613297e-15,-1.399054483375295e-15,-5.689893001203927e-16,-3.7470027081099033e-16
9,0.0,88.5473701159316,6.757358926328597,12.402311279699436,-3.497202527569243e-15,6.328271240363392e-15,-9.103828801926284e-15,9.325873406851315e-15,4.163336342344337e-16,1.7486012637846216e-15
10,1.0,12.102914272223764,11.951006727543882,-0.9088622277598302,-3.774758283725532e-15,3.649858193455202e-15,5.2735593669694936e-15,4.440892098500626e-15,8.881784197001252e-16,1.8041124150158794e-15
11,1.0,-4.950303584885789,-7.6435775953978675,2.2606688359476026,2.0469737016526324e-16,1.3877787807814457e-16,1.942890293094024e-15,-1.1770098784502636e-15,3.7470027081099033e-16,-8.326672684688674e-16
11,0.0,21.20822641737418,-0.832737928835142,-5.096007398092667,-3.219646771412954e-15,2.1788126858268697e-15,-2.275957200481571e-15,1.4988010832439613e-15,1.4432899320127035e-15,-7.771561172376096e-16
12,1.0,10.204009051181835,7.025139716703988,4.415049766420627,-1.5265566588595902e-15,1.1102230246251565e-15,2.4841240175987878e-15,4.2049697057677804e-15,1.27675647831893e-15,1.3322676295501878e-15
13,0.0,39.73608203980563,5.892691397010167,11.786860306983145,-3.3653635433950058e-15,2.6645352591003757e-15,2.3314683517128287e-15,-1.942890293094024e-15,2.1510571102112408e-16,-1.942890293094024e-16
13,1.0,2.2394523999886258,3.752443227956284,-0.14396315556264094,-3.608224830031759e-15,8.881784197001252e-16,4.0245584642661925e-16,5.967448757360216e-16,-4.163336342344337e-16,5.551115123125783e-16
16,1.0,-0.13420413176225038,4.0616414260344555,0.9902055669896409,4.649058915617843e-16,-2.0816681711721685e-17,2.22218077272629e-15,1.3877787807814457e-16,1.0894063429134349e-15,3.3306690738754696e-16
16,0.0,-4.542256446849349,-17.773352285261133,1.3100264453463581,1.249000902703301e-16,-1.2004286453759505e-15,-8.604228440844963e-16,-6.245004513516506e-16,-9.71445146547012e-16,-1.609823385706477e-15
17,1.0,-9.159624113661817,3.949183249362618,-0.08696359287988042,1.6566609195578508e-15,2.0816681711721685e-15,5.828670879282072e-16,1.5265566588595902e-16,3.0531133177191805e-16,6.38378239159465e-16
17,0.0,-7.893400361397058,-5.930732841647412,-0.9924907857055545,-1.1379786002407855e-15,5.689893001203927e-16,3.3306690738754696e-16,-1.2212453270876722e-15,1.9012569296705806e-15,2.220446049250313e-16
18,1.0,-10.98167438414774,-3.618688830225743,2.7463441449781105,1.3322676295501878e-15,7.077671781985373e-16,2.0122792321330962e-16,-6.938893903907228e-17,1.6237011735142914e-15,1.249000902703301e-16
18,0.0,1.3005683683719877,14.105391365313107,-7.16988567072683,-1.3877787807814457e-15,2.4980018054066022e-15,-1.4432899320127035e-15,1.7208456881689926e-15,2.7200464103316335e-15,4.996003610813204e-16
